Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>> 	WO 23/38	vol 6			20-29 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169156
>>>>>> 	WO 23/39	vol 7			30-40 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169157
>>>>>> 	WO 23/40	vol 8			41-49 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169158
>>>>>> 	WO 23/41	vol 9			50-59 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169159
>>>>>> 	WO 23/42	vol 10			60-69 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169160
>>>>>> 	WO 23/43	vol 11			70-79 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169161
>>>>>> 	WO 23/44	vol 12			80-89 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169162
>>>>>> 	WO 23/45	vol 13			90-104 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169163
>>>>>> 	WO 23/46				Foot Guards to 10 Foot	1855-1866	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169171
>>>>>> 	WO 23/47				11-30 Foot	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169172
>>>>>> 	WO 23/48				31-50 Foot	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169173
>>>>>> 	WO 23/49				51-70 Foot. 2 parts. Orderable at item level	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169174
>>>>>>>	WO 23/49/1				Part 1	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C10083567
>>>>>>>	WO 23/49/2				Part 2	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C10083569
>>>>>> 	WO 23/50				71-90 Foot	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169175
>>>>>> 	WO 23/51				91-109 Foot	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169176
>>>>>> 	WO 23/52				Cavalry	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169177
>>>>>> 	WO 23/53				Engineers and Artillery (except Artillery Depot)	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169178
>>>>>> 	WO 23/54				Artillery Depot	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169179
>>>>>> 	WO 23/55				Rifle Brigade and miscellaneous units	1855-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169180
>>>>>> 	WO 23/56				Foot Guards to 10 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169181
>>>>>> 	WO 23/57				11-25 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169182
>>>>>> 	WO 23/58				26-50 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169183
>>>>>>>	WO 23/58/1				26-31 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C8942577
>>>>>>>	WO 23/58/2				32-40 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C8942578
>>>>>>>	WO 23/58/3				41-50 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C8942579
>>>>>> 	WO 23/59				51-70 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169184
>>>>>> 	WO 23/60				71-90 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169185
>>>>>> 	WO 23/61				91-109 Foot	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169186
>>>>>> 	WO 23/62				Cavalry Guards and military train	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169187
>>>>>> 	WO 23/63				Horse Artillery to 16 Brigade (Artillery)	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169188
>>>>>> 	WO 23/64				17 Brigade to Depot (Artillery)	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169189
>>>>>> 	WO 23/65				Rifle Brigade and miscellaneous units	1865-1875	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169190
>>>>>  				Foreign and Colonial			 								C91365
>>>>>> 	WO 23/17				Indian Army pensioners: registers of admission	1849-1852	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169208
>>>>>> 	WO 23/18				Indian Army pensioners: registers of admission	1853-1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169209
>>>>>> 	WO 23/19				Indian Army pensioners: registers of admission	1857-1863	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169210
>>>>>> 	WO 23/20				Indian Army pensioners: registers of admission	1863-1868	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169211
>>>>>> 	WO 23/21				East India Company pensioners: alphabetical index of those in receipt of pension	1849-1857	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169205
