Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>>>	WO 33/2A/1856/16	Paper number 16			Memoir on organization of United Kingdom Artillery of Militia	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215622
>>>>>>>	WO 33/2A/1856/17	Paper number 17			Papers on recruiting in the United States. ¶ Missing from volume - but accessioned as WO 33/2A/10 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215623
>>>>>>>	WO 33/2A/1856/18	Paper number 18			Papers regarding necessity for New General Army Hospital	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215624
>>>>>>>	WO 33/2A/1856/19	Paper number 19			Further papers on recruiting in the United States. ¶ Missing from volume - but accessioned as WO 33/2A/11 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215625
>>>>>>>	WO 33/2A/1856/20	Paper number 20			Paper on Asiatic Turkey after capitulation of Kars. ¶ Missing from volume - but accessioned as WO 33/2A/12 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215626
>>>>>>>	WO 33/2A/1856/21	Paper number 21			Regulations for use of Crimean Telegraph	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215627
>>>>>>>	WO 33/2A/1856/22	Paper number 22			Report on land transport of French army	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215628
>>>>>>>	WO 33/2A/1856/23	Paper number 23			Report on the army at Kertch	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215629
>>>>>>>	WO 33/2A/1856/24	Paper number 24			Report on land transport of Turkish contingent	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215630
>>>>>>>	WO 33/2A/1856/25	Paper number 25			Lime juice supplied for army in the East: Extracts of letters, 1854-1856	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215631
>>>>>>>	WO 33/2A/1856/26	Paper number 26			Memorandum on the service of the Royal Engineers' Department	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215632
>>>>>>>	WO 33/2A/1856/27	Paper number 27			Consul Longworth to Lord Clarendon on affairs in Circassia. ¶ Missing from volume - but accessioned as WO 33/2A/13 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215633
>>>>>>>	WO 33/2A/1856/28	Paper number 28			French military contracts - army clothing etc.	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215634
>>>>>>>	WO 33/2A/1856/29	Paper number 29			Memorandum on transportation. ¶ Missing from volume - but accessioned as WO 33/2A/14 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215635
>>>>>>>	WO 33/2A/1856/30	Paper number 30			Papers relating to barracks in Ireland, 1849, 1853-1854	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215636
>>>>>>>	WO 33/2A/1856/31	Paper number 31			British Foreign Legion: Answers to applications for discharged soldiers to return home using discharge certificate in lieu of passport	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215637
>>>>>>>	WO 33/2A/1856/32	Paper number 32			Correspondence concerning naval operations in the Baltic. ¶ Missing from volume - but accessioned as WO 33/2A/15 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215638
>>>>>>>	WO 33/2A/1856/33	Paper number 33			Correspondence concerning naval operations in the Black Sea. ¶ Missing from volume - but accessioned as WO 33/2A/16 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215639
>>>>>>>	WO 33/2A/1856/34	Paper number 34			Papers relating to affairs in Asia Minor. ¶ Missing from volume - but accessioned as WO 33/2A/17 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215640
